ticker,marketCap,trailingPE,forwardPE,epsTTM,revenueTTM,dividendYield,pbRatio,beta,sector
AAPL,4033205764096,36.539494,32.84597,7.47,416161005568,0.38,54.68844,1.109,Technology
MSFT,3740641525760,35.795876,33.664883,14.06,293812011008,0.71,10.304873,1.065,Technology
AMZN,2539781619712,33.5565,38.630894,7.08,691330023424,,6.8690543,1.368,Consumer Cyclical
GOOGL,3365286969344,27.52668,31.090403,10.12,385476001792,0.29,8.696344,1.082,Communication Services
TSLA,1336946065408,275.3356,124.070984,1.46,95632998400,,16.709202,1.872,Consumer Cyclical
META,1537244659712,26.99823,24.106325,22.59,189458006016,0.34,7.922707,1.272,Communication Services
JNJ,470414884864,18.882978,18.419811,10.34,92148998144,2.68,5.9261847,0.358,Healthcare
BAC,386082930688,14.445354,14.445354,3.66,101445001216,2.07,1.3931122,1.304,Financial Services
XOM,500937424896,17.29112,15.094028,6.87,326244990976,3.49,1.9226038,0.378,Energy
WMT,817536172032,38.69434,37.69853,2.65,693152972800,0.91,9.07514,0.649,Consumer Defensive
